Name,Class,,,,,,Group
"Textile Industry including Jute Mills: (Who involve dust, heat, boiling, liquid acids, dyes etc)",2,4,2,0,2,4,
Sweepers ,4,4,4,0,4,4,Textile Mills 
Workers in Blow room ,4,4,4,0,4,4,Textile Mills 
Biri workers,4,2,2,0,2,0,Tobacco Industry
Barbers,2,2,0,0,2,0,
Employees in x-ray & Radium department assistant working with x-rays specialist ,2,3,3,0,3,0,X-Ray Radiologists
Poultry farm worker,2,0,0,0,N/A,0,
Dairy farm worker,2,0,0,0,N/A,0,
Labour,2,0,0,0,2,0,
Sweets Maker,2,2,2,2,2,0,
Lift Operator,2,0,0,2,N/A,0,
Officers/Supervisors,0,N/A,N/A,N/A,2,N/A,Garments Industry
Sewing Machine operator,2,2,2,2,2,2,Garments Industry
Cutting Master,2,2,2,2,2,2,Garments Industry
Engin room sareng,2,2,2,2,2,0, Lonch/Steamboat/Cargo lonch
Engine room technician & assistant,2,2,2,2,2,0, Lonch/Steamboat/Cargo lonch
Officer,0,N/A,N/A,N/A,0,0,Ansar/BGB
Solder/Guard,2,2,2,2,2,0,Ansar/BGB
Cyclist,-1,Declined,Declined,Declined,Declined,0,Professiona Players
Boxer,-1,Declined,Declined,Declined,Declined,0,Professiona Players
Restling,-1,Declined,Declined,Declined,Declined,0,Professiona Players
Gymnastic Artist,-1,Declined,Declined,Declined,Declined,0,Professiona Players
Football player,0,0,0,0,N/A,0,Professiona Players
Cricketer,0,0,0,0,N/A,0,Professiona Players
High Jump/Long Jump,-1,0,0,0,N/A,0,Professiona Players
Weight Lifting,-1,0,0,0,N/A,0,Professiona Players
Architect,0,0,0,0,N/A,0,
Flight Engineer,4,0,0,0,N/A,0,
Captan of Ship,4,0,0,0,N/A,0,
Merine Engineer,4,0,0,0,N/A,0,
Chemical Engineer (Working in oil/gas mine),4,0,0,0,N/A,0,
Civil Engineer,3,0,0,0,N/A,0,
Site/Construction supervisor,4,0,0,0,N/A,0,
Chemist (Working with non-explosive chemicals),0,0,0,0,N/A,0,
Pharmacist,0,0,0,0,N/A,0,
Microbiologist,0,0,0,0,N/A,0,
Technicians,4,0,0,0,N/A,0,Employees of Nuclear plant
Supervisors/Workers/Operators,4,0,0,0,N/A,0,Employees of Nuclear plant
Officers,2,0,0,0,N/A,0,Employees of Nuclear plant
Housewife,1,,,,,,
